guid	text_a	most-value	in-decrease	speci	cmp	more-less	trend
1-0	2010年四个省份地理数据统计情况表。下列各题。①、②、③、④四个省份对应正确的是	1	0	0	0	1	0
1-1	2010年四个省份地理数据统计情况表。下列各题。下列关于各省的说法不正确的	1	0	0	0	1	0
33-0	我国两城市的甲乙两家庭人口住房收入等条件相当各月用电量比较图”。完成下列各题。家庭用电量与所在地气候状况存在一定的相关性。下列说法正确的是	1	0	0	0	0	0
57-0	水量盈余率是衡量水库蓄水量变化的重要指标水量盈余率流入量流出量)，为北半球某水库多年平均水量盈余率季节变化图。，结合所学知识完成下列各题。该水库的最高水位一般出现在	0	0	1	0	0	0
57-1	水量盈余率是衡量水库蓄水量变化的重要指标水量盈余率流入量流出量)，为北半球某水库多年平均水量盈余率季节变化图。，结合所学知识完成下列各题。根据降水量各月的分配情况，该水库所处的区域属于	0	0	1	0	0	0
154-0	1983-2003年江苏省年平均气温变化图完成小题。1983-2003年，江苏省年平均气温变化的总体趋势是(　　)	0	0	0	0	0	1
175-0	是北半球亚热带某地降水量逐月累计曲线图。完成下列问题。该地冬季主要受	0	1	0	0	1	0
195-0	地­-气系统大气和地面吸收太阳短波辐射能量收入)，又向外发射长波辐射能量支出)，能量收支的差值，称为辐射差额。为沿海某地多年平均辐射差额的月份分配图。，下列各题。若只考虑辐射差额对气温的影响，该地气温最低的月份是	0	0	1	0	0	0
195-1	地­-气系统大气和地面吸收太阳短波辐射能量收入)，又向外发射长波辐射能量支出)，能量收支的差值，称为辐射差额。为沿海某地多年平均辐射差额的月份分配图。，下列各题。关于该地区的叙述，正确的是	0	0	1	0	0	0
213-0	生产过程中产生大量污染物的产业为污染密集型产业。表2为2001-2010年江苏省三大区域污染密集型产业产值增长速度(％)，据此下列问题。江苏省三大区域污染密集型产业	1	1	0	0	0	0
215-0	百度迁徙是利用百度LBS基于位置服务开放平台进行计算用于展现人口大迁徙轨迹与特征。为2014年春节假期前后某日百度迁徙地图，为此期间部分大城市日迁移人数占同日全国迁移人口的百分比。据此下列问题。在春节假期1月30日-2月5日期间，人口迁移对表1中所列城市造成的影响可能有	0	0	0	1	0	0
253-0	学生地理兴趣小组对某小流域进行水土流失的调查，根据图文资料下列各题。是同学根据调查结果绘制的坡度与单位面积产沙量关系曲线，其中符合水土流失一般规律的是	0	0	0	0	1	0
266-0	清洁能源是指不排放污染物的能源。为2007-2010年中国电力各细分行业发电量占比图表。据此小题。2010年中国清洁能源发电主要集中在(　　)。	0	0	0	1	0	0
316-0	我国北方某地区部分资料表下列各题。导致该地区20年来粮食平均亩产量下降的主要原因是(　　)	0	1	0	0	0	0
316-1	我国北方某地区部分资料表下列各题。下列有关该地区农业可持续发展的方向的叙述，正确的是(　　)	0	1	0	0	0	0
323-0	北京时间2012年6月18日14时许，中国神舟九号飞船与天宫一号飞行器首次载人交会对接成功。航天员在天宫内生活了10天。是该期间某地某天的太阳高度变化情况。完成下列各题。该地的地理纬度是	1	0	0	0	0	0
