guid	text_a	most-value	in-decrease	speci	cmp	more-less	trend
guid_0-0	第六次全国人口普查部分数据表，下列各题。第六次全国人口普查的数据反映我国人口增长模式是	0	0	1	0	0	0
guid_0-1	第六次全国人口普查部分数据表，下列各题。四川广东两省人口变化的主要原因是	0	0	1	0	0	0
guid_1-0	为我国某水库常年平均月均水位变化和月入库水量图，完成下列各题。该水库所在地区最可能是	1	0	0	0	0	0
guid_1-1	为我国某水库常年平均月均水位变化和月入库水量图，完成下列各题。下列关于该水库所在区域的说法，正确的是	0	0	0	0	1	0
guid_2-0	交通运输业是人为活动碳排放的第二大来源，仅次于电力与热力生产部门。1990-2012年我国客运交通碳排放强度单位乘客公里碳排放量示意图，完成下列各题。图示我国客运交通碳排放强度曲线①②③④分别代表	0	0	0	1	0	0
guid_3-0	某一时段内，日平均温度≥O时逐日平均温度累加之和，称为≥O积温，它是研究温度与生物有机体发育速度之间关系的一项指标。图示意某地≥O积温逐月累计曲线图，下列小题。下列月份中，该地大多数农作物生长最活跃的是	0	1	0	0	0	0
guid_3-1	某一时段内，日平均温度≥O时逐日平均温度累加之和，称为≥O积温，它是研究温度与生物有机体发育速度之间关系的一项指标。图示意某地≥O积温逐月累计曲线图，下列小题。该地可能位于	0	1	0	0	0	0
guid_4-0	20世纪90年代以来，有许多学者从不同角度对我国人口数量及人口容量进行了预测，下表中的内容为一些学者的预测数据，下列问题。上表中反映的我国人口合理容量的是	0	0	1	0	0	0
guid_4-1	20世纪90年代以来，有许多学者从不同角度对我国人口数量及人口容量进行了预测，下表中的内容为一些学者的预测数据，下列问题。关于人口合理容量的说法，正确的是	0	0	1	0	0	0
guid_5-0	四川省成都市2015年人口普查数据表，下面小题。只考虑人口自然增长，该市的人口增长模式是	0	0	1	0	0	0
guid_6-0	图8是我国人口增长走势及预测图。完成13-14题。关于图中a、b、c三条曲线正确的是	0	0	0	1	0	0
guid_7-0	北京市2009年城市建设土地供应计划表表1）。1-2题。该项供地结构，最有利于	0	0	0	0	1	0
guid_7-1	北京市2009年城市建设土地供应计划表表1）。1-2题。在各项用地中，商业服务用地较少，原因是	0	0	0	0	1	0
guid_8-0	水量盈余率是衡量水库蓄水量变化的重要指标水量盈余率流入量/流出量），某水库各月水量盈余率统计表。完成下列各题。下列说法正确的是	0	0	1	0	0	0
guid_8-1	水量盈余率是衡量水库蓄水量变化的重要指标水量盈余率流入量/流出量），某水库各月水量盈余率统计表。完成下列各题。该水库最有可能位于	0	0	1	0	0	0
guid_9-0	今年某校兴趣小组收集到的安徽省4个酸雨观测站某月降水状况及酸雨监测数据。据此下列各题。据表中信息说出该月降水出现酸雨频率最高的城市是	1	0	0	0	0	0
guid_10-0	我国不同地区2015年粮食生产效率表。问题。表中所示生产成本中劳动费用最高的是	1	0	0	0	0	0
guid_10-1	我国不同地区2015年粮食生产效率表。问题。东北和新疆的人力投入量最低，人力效率最高，反映出	1	0	0	0	0	0
